"Ativo","Data (EX-1)","Descrição","Fator"
"SBSP3<XBSP>","2019-04-29","Juros sobre o capital próprio de $1.159 por ação",0.97563590498
"SANB11<XBSP>","2019-01-07","Dividendo de $0.25719 por ação",0.9892814993
"SANB11<XBSP>","2019-01-07","Juros sobre o capital próprio de $0.38579 por ação",0.98374805244
"SANB11<XBSP>","2019-04-05","Juros sobre o capital próprio de $0.13396 por ação",0.99417038557
"SANB11<XBSP>","2019-07-05","Juros sobre o capital próprio de $0.13402 por ação",0.99434625937
"SANB11<XBSP>","2019-10-08","Juros sobre o capital próprio de $0.13404 por ação",0.99383988525
"SANB11<XBSP>","2020-01-03","Dividendo de $0.91037 por ação",0.96425019165
"SANB11<XBSP>","2020-01-03","Juros sobre o capital próprio de $0.13542 por ação",0.99448512614
"CSNA3<XBSP>","2019-05-02","Dividendo de $0.65091 por ação",0.95313822894
"CSNA3<XBSP>","2019-09-23","Dividendo de $0.299 por ação",0.97933632381
"SMLS3<XBSP>","2019-03-29","Juros sobre o capital próprio de $0.14021 por ação",0.9970605722
"SMLS3<XBSP>","2019-04-22","Dividendo de $3.2889 por ação",0.93711407432
"SMLS3<XBSP>","2019-12-30","Juros sobre o capital próprio de $0.27026 por ação",0.99311802521
"SULA11<XBSP>","2019-03-28","Dividendo de $0.067509 por ação",0.99301626783
"SULA11<XBSP>","2019-09-24","Juros sobre o capital próprio de $0.051651 por ação",0.99651243293
"SULA11<XBSP>","2019-12-18","Juros sobre o capital próprio de $0.094629 por ação",0.99488217669
"SUZB3<XBSP>","2019-04-18","Dividendo de $0.4447 por ação",0.98916156812
"TAEE11<XBSP>","2019-05-03","Dividendo de $0.055317 por ação",0.9936659928
"TAEE11<XBSP>","2019-05-17","Dividendo de $0.018261 por ação",0.99773999739
"TAEE11<XBSP>","2019-05-17","Juros sobre o capital próprio de $0.075351 por ação",0.99065321506
"TAEE11<XBSP>","2019-08-08","Dividendo de $0.17419 por ação",0.98187431916
"TAEE11<XBSP>","2019-08-08","Juros sobre o capital próprio de $0.066481 por ação",0.99295436964
"TAEE11<XBSP>","2019-11-19","Dividendo de $0.11723 por ação",0.98752878207
"TAEE11<XBSP>","2019-11-19","Juros sobre o capital próprio de $0.063267 por ação",0.99318442393
"TAEE11<XBSP>","2019-12-16","Juros sobre o capital próprio de $0.060139 por ação",0.9940691498
"VIVT4<XBSP>","2019-02-28","Juros sobre o capital próprio de $0.42763 por ação",0.99086068299
"VIVT4<XBSP>","2019-04-11","Dividendo de $1.5081 por ação",0.96893688487
"VIVT4<XBSP>","2019-04-30","Juros sobre o capital próprio de $0.34821 por ação",0.99252282811
"VIVT4<XBSP>","2019-06-28","Juros sobre o capital próprio de $0.59135 por ação",0.98815168658
"VIVT4<XBSP>","2019-12-30","Dividendo de $0.6109 por ação",0.98946364158
"VIVT4<XBSP>","2019-12-30","Juros sobre o capital próprio de $0.21381 por ação",0.99627300561
"VIVT4<XBSP>","2020-02-28","Juros sobre o capital próprio de $0.16494 por ação",0.99691003229
"TIMP3<XBSP>","2019-01-02","Juros sobre o capital próprio de $0.157 por ação",0.98707836988
"TIMP3<XBSP>","2019-08-09","Juros sobre o capital próprio de $0.15243 por ação",0.98765736559
"TIMP3<XBSP>","2019-10-07","Juros sobre o capital próprio de $0.15647 por ação",0.98626240193
"TIMP3<XBSP>","2020-01-17","Juros sobre o capital próprio de $0.10236 por ação",0.99384884964
"TOTS3<XBSP>","2019-08-12","Juros sobre o capital próprio de $0.19 por ação",0.99653916211
"TOTS3<XBSP>","2019-12-23","Juros sobre o capital próprio de $0.23 por ação",0.99660115265
